,latitude,longitude,altitude,station,score_direction,score_force
0,42.52,8.79,0.58,200500.01,0.6576021754778854,0.8411496115581308
1,42.51,3.13,0.86,661480.01,0.7607491856677524,1.5504316506925546
2,42.63,8.92,1.45,200930.02,0.6016546215290985,1.2139082409529325
3,42.91,3.06,0.4,112020.01000000004,0.7452168367346939,1.0780898018036873
4,42.73,2.87,0.43999999999999984,661360.01,0.6268785222291797,1.0610476737572538
5,42.54,9.480000000000002,0.12,201480.01,0.6139199481445471,0.7629009399474334
6,42.26,9.54,0.74,203030.02,0.6127059207307127,0.9376214185598681
7,43.2,6.5,1.0000000000000002,830790.01,0.5434078258702334,0.6915654981414613
8,43.25,5.78,4.18,830350.01,0.6211853332308402,0.919361667195403
9,43.38,6.38,0.82,830310.01,0.5541912632821724,0.8237665518209344
10,43.22,2.2900000000000005,1.27,110690.01,0.8050833333333334,0.8309443837602933
11,43.08,5.94,1.34,831530.01,0.7441112629632607,1.0125002859872927
12,43.4,3.69,0.7700000000000001,343010.02,0.6952997052079921,0.8912127389112848
13,43.32,3.35,0.16,342090.02,0.6687841029399788,0.9047170866486187
14,43.24,6.13,0.73,830490.05,0.5690561438257028,0.8104996980984739
15,43.43,5.21,0.32,130540.00999999997,0.6384597648143878,1.0186445537220734
16,43.03,6.46,1.31,830690.03,0.7630796431728682,1.0276802888323158
17,43.09,6.14,0.04,830690.01,0.659656137544982,0.8836797432439988
18,43.17,2.72,0.6000000000000001,112030.04,0.7502657555049355,1.0404195521759463
19,43.7,5.76,2.96,130990.01,0.563205857153984,0.6483362524835703
20,43.55,2.2900000000000005,2.41,811200.02,0.6061973168704737,0.953824171597638
21,43.64,7.2,0.25999999999999984,60880.010000000075,0.6379447901707356,0.9126306565275446
22,43.55,6.95,0.04,60290.01,0.7568355527539201,0.6273000053870613
23,43.57,3.96,0.08,341540.01,0.6418772563176895,0.9401219275310438
24,43.6,5.1,0.59,131030.01,0.6080944612755379,0.9427373968692757
25,43.52,4.92,0.24,130470.01,0.6828052115168087,1.0112105799350244
26,43.86,4.41,0.6200000000000001,301890.01,0.6387240927652361,0.8215498109381485
27,43.91,2.1100000000000003,1.71,812840.01,0.5469086434943095,0.7564948024529011
28,43.91,4.9,0.48000000000000015,840070.05,0.647035352326231,0.8777235291274544
29,43.76,4.41,1.05,302580.01,0.6575779319142151,0.8488755725573042
